sentiment,content
happiness,just got skyfire firts impressions looks good little memory hungry ageing htc tytn
worry,2009 convention doesnt look great year going vegas sounds fun
worry,gone estimation
neutral,grabbed way work
worry,im awake sleep bc im feeling sick yuck
worry,im allergic cats tonsils swollen hurt dooo
surprise,wat u doin bad im mixin song
worry,phaket did anneliese want
love,sleepovers shit love guy totally forgot played tonight
worry,bought new racquet 145 wish racquet half god rest despite recession things fkin costly
fun,white sox players random bars cubs players waaah
sadness,know yes dont remind im effin jealous fuck aust times
worry,think im going lame person jays episodelol wish able
worry,lost followers said swear freeballing ugg time mention thing
hate,feel useless
sadness,crying omg fed pain
hate,awhile ago freaking hot wet turn
neutral,hmm following think declined thehodgecouk inclusion network
surprise,erocka ruler called gets love whats
sadness,im way early today work later
worry,wowive stood work
sadness,im really tired time sleep
worry,help need stalker police number
neutral,just handle tg
surprise,wednesday joking soon whens partaaaaaaay
sadness,attempts extend inner classes close closure ref atm
neutral,im going miss khyy
worry,going recording needle stings heart youtube missed stream
sadness,sad day love maï½ 8 years ago
neutral,miss tomorrow fridaythe day usually just lounged trying figure
neutral,best way start day
fun,old house thanks net keeps alive kicking invented net wanna kiss hair
worry,exactly problem having pure classical music njoy
sadness,going nights sleep tonight arm better fun forced use left hand
worry,scanning pics
neutral,learn walk day sprint sprinklers stretching
neutral,want van basten b milan manager
sadness,shut face mean pedro supposed mean
sadness,itï½s ffa evil grin iï½m busy work today wonï½t
neutral,dont iphone maybe week
neutral,jus woke late runnin work students train
worry,tired cold headache wait vacashunand frickin g1 updatei want onscreen keyboard dammit
neutral,l need aussies
hate,omg going reason live devon fin cinemas film im annoyed
worry,way quotstabalisequot shaky video post production apparently shaky hand
hate,aaaaaaaa hate fucking winshit
worry,room oven
hate,think time lemsip soon having cold really sucks
worry,doctor dont want cause wait sooo long
sadness,fell stairs dancing sword fell bum hurts
neutral,meeting discussion colour bikeshed
worry,im proud os x excels videophoto editing pc lags
neutral,emily tonight xd work experience jen im going miss seeing like everyday
worry,111am girls im tired
worry,internet getting damn slow today
love,sad day love maï½ 8 years ago miss
sadness,nope music
surprise,feels like ages away 5 months
neutral,turn red
sadness,darline miss
worry,just missed train
worry,haaay kettle black joints black super dope just wished came gold
worry,driving 3 hours going fun missed singing lesson
worry,idea badly wish botcon oh year
worry,friend disappointed make
sadness,didnt book today bothered work weather good
hate,bastard want beach sun
worry,sized jeans hips 14s
worry,believe stay latewaking work tminus 4hours
fun,dooood working tea time later working tonight
worry,missed match game tonight hope make tomorrow night
sadness,thats really fair mean just leave like dont party coming
happiness,proclaim officially summer awesome today im stuck inside chilly office
hate,bruised toe worse did finger fuckin hurts right ice
neutral,im probably going doing thing
hate,bubble tea cambodian new year year amp stand line 1015 min
neutral,thanks scared dentists looks like going
worry,forgot people
surprise,sleeping wouldve home sooner accidentally killed bambi way home
happiness,lovliest night night ruined doctors inability warn effects tests
surprise,woke sun started rain
worry,photos darling harbour fireworks cause raining carried camera gear work fb
worry,just woke tummy hurts theres wrong s
love,hi sharon missed x factor year come x
neutral,34 hours sleep night barely functioning
worry,like 60 min wait time wife
sadness,just called cheeseburglar sad
worry,happy got big choice make
sadness,getting bored sitting hotel room entire day
neutral,natsmith88 friday today
surprise,uuu din nou pr 4 yeey epenis bigger
hate,ok drs today got essay x howre x
neutral,hmm make time machine forward 1200 god im genius oh yeh dont x
neutral,dont think master cleanse intended travelers feeling gross
neutral,lol
worry,hey anne stayed 2 try 2 arrange 4 nyc archies 2 tix 2 concert logged 230 fell asleep 5am
happiness,bumping air supplys greastest hits
neutral,forwarded email cool science event canberra friend thought sydney trekked wrong place
worry,getting pet days heard weekend fab wedding soon
sadness,believe im peeling half days sunshine
worry,dont know im goin sleep
surprise,oh god tire
worry,better hurry wouldnt labeled copycats
neutral,friday today
happiness,flying ontario 4 hourswill probably stay awakei 8 dayscamping 4 time yayi sleepy
relief,gutted work sooo nice outside
happiness,going home love ya zagrebe lt3
hate,geography papers boring hate revision
neutral,came house morning stink cat poo cats doing business little bit garden
neutral,bah bk reception comps aint workingbut sun got hat hiphiphoray x
worry,bbc malaria parasites resistant drugs really good malaria affects people
worry,morning appear bit sore head bag pork scratchings dinner wasnt good idea
surprise,just booked appointment blood 1820pm 2nd june scared
hate,urgh head banging
neutral,fine just having headache days
worry,amp following
worry,nope im hearing bad things
worry,attempts writing tonight failing
neutral,got day painting
hate,ojee sucks
neutral,flypside goodi creat presentation english guys
happiness,staring sunshine office window
sadness,wish concept time right adjusting obvs
worry,juz registered cp twitter tweets wont arghhmm wanna follow idols lyk away pc
surprise,getting dressed grannysanother day twitting
sadness,feeling pretty poo today
neutral,need buy tablet
worry,ugh totally sleep
sadness,wanna beachbut study
sadness,whats worse fever sore throat cancelling trip little bro fever sore throat
sadness,brighter note work 615 friday working peoples problems oh man im eating pizza tonight hoorah
worry,d im sowwwy urgh feel bad gtlt kkkkkkk 2 bullschitt
fun,youre missing bb im cereal nut think like kind available
worry,unfortunately choose sleep gym everyday trying
surprise,just reached plate bit toast realised id eaten nice feeling
fun,good really late just got scaring people im pleased really tired
neutral,got 2 hours sleep
hate,oh fml probs gunna shepards bush hate
worry,wow thats deep sleep wish sleep like little noise im awake
worry,noe bt jus help
worry,wud im work srry xx
surprise,geez u obvious
surprise,messed backhip hurts bad
neutral,wonders end hay
surprise,early
worry,internet just crashed ttytomorrow
hate,got remedies neck pain havent able turn head properly bad twinge days
sadness,crazy night lost keys walked home missed papis calls swizzy im sad
surprise,bloooooows
happiness,mooorning friday thats terrific smile d
worry,writing wasnt scrub
worry,gotta hoursbooo gooodnight
surprise,going bedgoing korea tomorrow
sadness,missed jonaswebcast
neutral,nice reference lm program journalists using twitter australia mention
sadness,millys having yummy asian food haha listening let sad song
hate,record player decided die friday night sad e
neutral,just wants miss working
sadness,blog crashing browser
sadness,mind playing tricks meor way ish mind heavy sleepy
worry,miss peanut gallery
sadness,babe ice come jobs morning sigh
love,aww kind hi sweetie guys partying im person came work 2nite lol
worry,yes thats problem prism fail
sadness,does close didnt think itd running long havent chance
hate,sleep ugh shit damn day tomorrow wanting sleeping pill know ill late
worry,sassafrass reminds rachel miss
worry,youre supposed
worry,thanks follow isafailure supposed 2 b team thing friend emailed communicated n 4ever
sadness,oh yes sure sad cause miss view house leaving actually
neutral,hindi flick 99 came couple weeks ago uk
sadness,liesboystell love really women
worry,bf gig portland thats driving distance come save burbank stuck atm working plan b
neutral,awww watching 18 yo britney snl shes young cute really funny miss britney
worry,thats good sorry hear did park
neutral,im working bit
sadness,just got tweets sucks love
worry,house bound acute mumps bad times day ov supernatural thinks x
happiness,sadly awake wondering contact info fun folks hung shop yay 23b miss guys
happiness,sunday play horse night mex miss
surprise,u didnt hit
sadness,fuck elora danan breaking im missing nsw def need hit melbs come
sadness,guess bedtime goodnight twitter bed big
surprise,darn just realised quotpull onequot far better response suggestion
neutral,life come making choices ill regret later
relief,battery just needed jumpand gotta pay extra nail fixed
worry,ok crowdsourcing failed
worry,3 people stopped following said
worry,acid refulx acting upï½probably worst months dont think ill getting sleep tonight
surprise,believe gig posters little civic taken
hate,mother hogging tv
worry,sleep ughh n registration tomorrow 11 suxs shooting star
love,thought u 2 tummy supposed feel better worse
